CLT AGE,CLT CATEGORIE,SEGMENT,CLT REV MENS NET,MMM,VOLUME DES REVENUS,CREDIT CONSO,CREDIT IMMO,CLASSE DE RISQUE,PRIME_ASSURANCE
48,7000,CLASSE MOYENNE,2005,2155.018,75.81,4878.21,71100.141,0,980.743
62,7000,CLASSE MOYENNE,935,831.254,0,0,9980.509,0,137.064
43,7000,CLASSE MOYENNE,1895,2903.013,51.859,12612.071,48861.811,0,535.629
41,7000,CLASSE MOYENNE,1600,2820.475,1174.91,0,6794.696,0,80
46,7000,CLASSE MOYENNE,1110,873.618,13.683,3804.308,11852.571,0,255.799
42,7000,CLASSE MOYENNE,1077,1491.127,926.625,4519.9,8516.796,0,173.682
54,7000,HAUT DE GAMME,2300,17865.187,24024.471,0,72931.691,0,682.641
55,7000,CLASSE MOYENNE,,5767.866,1175.809,0,5795.386,0,80
59,7000,CLASSE MOYENNE,1505,1457.279,0,0,46039.838,0,446.887
48,7000,CLASSE MOYENNE,1312,1523.256,0,0,55801.328,0,1044.719
38,7000,CLASSE MOYENNE,2173,2579.224,171.915,13639.607,35935.841,0,429.244
50,7000,CLASSE MOYENNE,830,1097.639,2257.926,5000,26531.415,0,627.708
39,7000,GRAND PUBLIC,2700,1738.696,343.867,2648.702,11325.008,0,107.846
46,7000,CLASSE MOYENNE,2106,3301.674,1526.743,3947.36,65850.742,0,668.089
52,7000,CLASSE MOYENNE,2825,3562.871,795.323,11231.989,49682.252,0,613.401
42,7000,CLASSE MOYENNE,2709,3135.85,110.4,18572.614,41738.218,0,544.206
47,7000,CLASSE MOYENNE,1683,1597.615,2150.717,0,73190.198,0,924.686
56,7000,HAUT DE GAMME,,7673.521,30126.86,27125.124,117893.741,0,80
41,7000,CLASSE MOYENNE,2053,1803.272,96.866,17665.096,36971.163,0,491.184
69,7000,CLASSE MOYENNE,1270,1600.293,0,0,17095.602,0,311.78
40,7000,CLASSE MOYENNE,1013,821.655,2373.152,0,34914.369,0,408.498
46,7000,CLASSE MOYENNE,500,793.681,0,0,16099.699,0,229.101
59,7000,HAUT DE GAMME,2421,4317.223,339.903,6553.769,26879.527,0,351.445
59,7000,CLASSE MOYENNE,1557,7334.217,3147.596,0,4726.964,0,80
51,6000,HAUT DE GAMME,5000,128101.248,355647.3195,1572.987,64986.629,0,727.979
59,7000,CLASSE MOYENNE,1680,1784.651,74.971,3601.546,55019.58,0,575.632
